dim,coef,se,t_stat,p_raw,ci_lo,ci_hi,p_bh,sig_bh,sig_raw
emb_000,-0.020065615442949204,0.02213392730220396,-0.9065546827268739,0.3646803359568641,-0.06344731579169677,0.023316084905798364,0.5834885375309826,False,False
emb_001,0.06467405016944641,0.02731538827290988,2.367678230427612,0.0179330148844961,0.011136872930815292,0.11821122740807753,0.09564274605064586,False,True
emb_002,-0.0683254800802586,0.03401864923387365,-2.008471283222626,0.044639923506770256,-0.13500080738135206,-0.001650152779165151,0.15871972802407203,False,True
emb_003,0.0005403233230649887,0.02692771988092453,0.0200656916164577,0.9839916652146657,-0.052237037829330285,0.05331768447546026,0.9839916652146657,False,False
emb_004,0.08845869775663848,0.03300498089657727,2.680162065047944,0.0073796368184666445,0.02377012388891453,0.15314727162436242,0.05647817422767935,False,True
emb_005,0.05897775242686269,0.026207221273143358,2.250438984437542,0.024458744051298234,0.007612542596629766,0.11034296225709561,0.11181140137736335,False,True
emb_006,-0.045394698365786385,0.025983518392334235,-1.747057410792332,0.08068078537737522,-0.09632145860639557,0.005532061874822802,0.21514876100633393,False,False
emb_007,0.05903300709155155,0.045812142557499935,1.288588653487616,0.19759299223179733,-0.030757142375763012,0.1488231565588661,0.39518598446359465,False,False
emb_008,0.0032180767069604583,0.014492646363567521,0.22204893614531654,0.8242836771007566,-0.025186988206307263,0.03162314162022818,0.879235922240807,False,False
emb_009,0.026028752229283875,0.02714994688381757,0.9587036151734806,0.3377483991911091,-0.027184165845174028,0.07924167030374178,0.5688394091639732,False,False
emb_010,-0.033854719378258374,0.02167882103586361,-1.5616494698790115,0.11842563993519054,-0.07634442783584036,0.008634989079323613,0.2706871769947212,False,False
emb_011,-0.033728580327503345,0.020742380555680038,-1.6260708474113499,0.10398940305843345,-0.07438289917026014,0.006925738515253445,0.25597391522075924,False,False
emb_012,0.02106348991783695,0.019291220894932935,1.0918691995989493,0.27493636018565876,-0.016746608254038155,0.058873588089712055,0.5109291036692887,False,False
emb_013,-0.0337769506148361,0.01566460300243393,-2.15625960067982,0.031104754524590775,-0.0644790083317246,-0.0030748928979475974,0.1244190180983631,False,True
emb_014,-0.0067709824289018125,0.019886272962582444,-0.3404852403284385,0.7335035787445905,-0.04574736122229604,0.03220539636449242,0.8693375748084036,False,False
emb_015,-0.021995660088146244,0.011277967881684859,-1.950321220888264,0.0511863852699216,-0.04410007095504805,0.00010875077875556471,0.16379643286374912,False,False
emb_016,-0.0035117344723541374,0.019608818087159818,-0.17908955331956902,0.8578736966819551,-0.041944311702584974,0.0349208427578767,0.8855470417362118,False,False
emb_017,-0.003921810502857971,0.015203665430831915,-0.2579516446675305,0.7964534611124214,-0.03372044718028517,0.025876826174569226,0.879235922240807,False,False
emb_018,-0.0057725310503874815,0.014774436287293588,-0.39071074781729664,0.6960255331884404,-0.034729894065364586,0.02318483196458962,0.8566468100780805,False,False
emb_019,-0.022276065419018123,0.017129062498130336,-1.300483632507593,0.19348740011052196,-0.05584841100428927,0.011296280166253024,0.39518598446359465,False,False
emb_020,0.008369261109296002,0.013662614806762558,0.612566571455523,0.5401871999216761,-0.01840897184660228,0.03514749406519428,0.7515647998910275,False,False
emb_021,0.013382096689212355,0.02635099675929334,0.5078402464792086,0.6115848684746952,-0.038264907915734274,0.06502910129415898,0.7828286316476099,False,False
emb_022,-0.013758258688292252,0.018896791888634273,-0.7280737793681974,0.46659808113497525,-0.050795290213364055,0.02327877283677955,0.7110065998247241,False,False
emb_023,0.0830947117073501,0.021744575521675042,3.8213995773116425,0.0001340971385680357,0.04047612682575576,0.12571329658894442,0.002145554217088571,True,True
emb_024,-0.011975419160980157,0.018075449945332285,-0.6625239867997107,0.5076620305032349,-0.04740265005818793,0.023451811736227613,0.7384174989137962,False,False
emb_025,0.015139613607833141,0.014229675400521922,1.0639465189260637,0.2873976208139749,-0.012750037688885395,0.04302926490455168,0.5109291036692887,False,False
emb_026,0.04886567074702301,0.014331768582814416,3.409605064766331,0.0006550453279066152,0.020775920489944106,0.07695542100410192,0.006987150164337229,True,True
emb_027,-0.005656486860338959,0.02415789185944533,-0.2341465428047012,0.8148795531490935,-0.05300508484726517,0.041692111126587245,0.879235922240807,False,False
emb_028,0.08626905441561729,0.014278365441740267,6.041941899275461,1.6182296783443082e-09,0.058283972391705026,0.11425413643952956,5.178334970701786e-08,True,True
emb_029,0.008763980125626838,0.015376483089195,0.569959988561055,0.5687271113302856,-0.021373372938084556,0.03890133318933823,0.7583028151070476,False,False
emb_030,-0.03088309237886875,0.011788941012573292,-2.619666375964637,0.008824714723074898,-0.05398899217937956,-0.00777719257835794,0.05647817422767935,False,True
emb_031,-0.02525551520285067,0.013650967976948671,-1.850089696605962,0.06435191014638851,-0.05201092079177967,0.0014998903860783293,0.18720555678949385,False,False
