treatment,col,nuisance,sample,n,theta,se_hc1,se_boot,t_stat,p_value,ci_lo,ci_hi
T1: Residential zone,residential_zone,RF,Full,5749,0.012413932897482688,0.02718722652180473,0.01975340540082956,0.6284452045398388,0.5297123319277933,-0.026302030260162236,0.05112989605512761
T1: Residential zone,residential_zone,GB,Full,5749,0.003260863770745674,0.03026339650922735,0.02199279068395461,0.14826966789279356,0.8821299522608622,-0.03984421388933339,0.04636594143082473
T2: Ped orientation score,ped_score_weighted,RF,Full,5749,-0.039450706210714656,0.03926692990194772,0.030108270039541304,-1.3102946851115622,0.19009616476728264,-0.09846183112502196,0.019560418703592646
T2: Ped orientation score,ped_score_weighted,GB,Full,5749,-0.045167317464620625,0.03636283700203152,0.023137482343975356,-1.9521275821256974,0.0509230592798302,-0.09051594955174372,0.00018131462250246116
T2: Ped orientation score,ped_score_weighted,RF,Residential,2999,-0.053588868784675205,0.023054703822308818,,-2.324422347721513,0.020102868964940554,-0.0987752579506384,-0.008402479618712003
T2: Ped orientation score,ped_score_weighted,RF,Non-Residential,1429,-0.03614078341124115,0.07846914861112486,,-0.46057315583155617,0.6451048746252279,-0.18993748858656706,0.11765592176408478
T3: Front setback,front_setback_avg,RF,Full,5749,0.081458764024882,0.05031463027183672,0.03848160116386909,2.1168236653667303,0.03427481608860335,0.006036211676263961,0.15688131637350006
T3: Front setback,front_setback_avg,GB,Full,5749,0.014921353630363312,0.03561920606377203,0.02726384693600841,0.5472945056281147,0.5841764179699999,-0.03851480444422588,0.0683575117049525
T3: Front setback,front_setback_avg,RF,Residential,2999,0.046324759977764536,0.030956670983468302,,1.4964386836847932,0.1345393752288119,-0.014349200231089473,0.10699872018661855
T3: Front setback,front_setback_avg,RF,Non-Residential,1429,-0.11338148410702131,0.16090255434812897,,-0.7046593173512273,0.4810222746110292,-0.4287446956498528,0.20198172743581017
