zone_class,context,causal_score
YC-9,Residential,0.0510617278438861
YC-8,Residential,0.0510617267676377
YC-3,Non-Residential,0.0510617266340466
YC-4,Residential,0.0510617266269587
YC-1,Non-Residential,0.0510617266191772
YC-2,Residential,0.0510617266191772
YC-6,Non-Residential,0.0510617265985767
YC-5,Non-Residential,0.0510617265800952
YC-7,Non-Residential,0.0510617264985069
CBD-2,Non-Residential,0.0317870974508614
CBD-1,Non-Residential,0.0295841277902084
SH-CN,Non-Residential,0.0187412347246588
SH-CG,Non-Residential,0.0186472435040796
SH-RM,Residential,0.0139916843766275
SH-RO,Residential,0.0115891509515847
SH-CI,Non-Residential,0.0114655299472708
AS-1,Other/PD,0.0100248397510281
SH-RS-A,Residential,0.0067018371619053
SH-RS,Residential,0.0056220025197547
CD-3,Non-Residential,0.003401157967307
SH-PD,Residential,0.0030945724417155
CU,Other/PD,0.0029919712152498
M-AP-2,Other/PD,-0.002940888458574
PD-A,Other/PD,-0.0044265910168447
PD,Other/PD,-0.0044265917783159
UC,Other/PD,-0.0051883163259676
OP,Non-Residential,-0.0077874606121089
CN,Non-Residential,-0.0098740279762723
RS-60,Residential,-0.010890068306731
OP-1,Non-Residential,-0.0111835744208464
M-AP-1,Other/PD,-0.012416636645834
CD-1,Non-Residential,-0.0140351003775277
RS-50,Residential,-0.0145401713663825
RS-150,Residential,-0.0165197326238639
CD-2,Non-Residential,-0.0165863079559621
RM-18,Residential,-0.0175833366944113
NMU-16,Non-Residential,-0.0184803383739992
CG,Non-Residential,-0.0187791459915144
RS-100,Residential,-0.0190982317705818
RM-24,Residential,-0.019161978821655
RM-50,Residential,-0.0195561569217189
RM-12,Residential,-0.0196576872729215
M-AP-3,Other/PD,-0.0200240252126636
NMU-24,Non-Residential,-0.0203301502580392
RM-16,Residential,-0.0209561659055858
RS-75,Residential,-0.0211723608947099
CI,Non-Residential,-0.0215901552427027
RM-35,Residential,-0.0216361845055331
RM-75,Residential,-0.022022398968818
NMU-35,Non-Residential,-0.0220780973800554
IG,Non-Residential,-0.0250291075840956
IH,Non-Residential,-0.0252279551947715
RO,Residential,-0.0275151904008493
RO-1,Residential,-0.0291946911032105
RM-24/18,Other/PD,-0.0384078048716836
M-AP-4,Other/PD,-0.048881251235054
