dimension,feature,RF_Full,RF_NoACS,GB_Full,GB_NoACS
D1,density_permissions (LLM),+0.088 (0.048)†,+0.042 (0.005)***,+0.029 (0.020),+0.040 (0.004)***
D1,"min_lot_area (scraped, inv.)",+0.039 (0.017)*,+0.011 (0.004)**,+0.038 (0.008)***,+0.009 (0.003)*
D1,max_height (scraped),-0.052 (0.025)†,+0.016 (0.004)***,-0.013 (0.015),+0.016 (0.004)***
D2a,use_mixing (LLM),+0.046 (0.026)†,+0.024 (0.004)***,+0.021 (0.010)†,+0.023 (0.004)***
D2b,use_flexibility (LLM),+0.096 (0.027)**,+0.034 (0.004)***,+0.025 (0.010)*,+0.030 (0.003)***
D3,"parking_intensity (LLM, inv.)",+0.091 (0.031)*,+0.041 (0.005)***,+0.042 (0.015)*,+0.038 (0.004)***
D3,reduced_parking (binary),-0.002 (0.022),-0.033 (0.004)***,-0.024 (0.009)*,-0.032 (0.003)***
D4a,ped_street_interface (LLM),+0.090 (0.034)*,+0.036 (0.004)***,+0.035 (0.012)*,+0.034 (0.004)***
D4a,"front_setback (scraped, inv.)",-0.084 (0.041)†,+0.023 (0.005)***,+0.008 (0.018),+0.022 (0.004)***
D4a,"lot_width (scraped, inv.)",+0.037 (0.010)**,+0.012 (0.003)***,+0.036 (0.006)***,+0.010 (0.003)**
D4a,frontage_std (binary),+0.045 (0.027),+0.009 (0.004)*,+0.028 (0.010)*,+0.011 (0.004)**
D4b,transparency_activation (LLM),+0.050 (0.039),+0.034 (0.005)***,+0.037 (0.019)†,+0.034 (0.004)***
D5,setback_building_placement (LLM),+0.089 (0.038)*,+0.032 (0.005)***,+0.039 (0.016)*,+0.031 (0.004)***
D5,"side_setback (scraped, inv.)",-0.055 (0.028)†,+0.021 (0.004)***,+0.000 (0.012),+0.021 (0.004)***
D5,"rear_setback (scraped, inv.)",+0.087 (0.022)**,+0.027 (0.005)***,+0.047 (0.010)***,+0.028 (0.004)***
D6,form_based_design (LLM),+0.066 (0.071),+0.029 (0.005)***,-0.014 (0.023),+0.028 (0.004)***
D6,human_scale_design (binary),-0.087 (0.030)*,+0.011 (0.005)*,-0.079 (0.018)***,+0.013 (0.004)***
D6,ped_scale_lang (binary),-0.067 (0.036)†,+0.018 (0.005)***,-0.040 (0.029),+0.020 (0.004)***
D7,transit_orientation (LLM),+0.246 (0.070)**,+0.042 (0.005)***,+0.099 (0.040)*,+0.040 (0.004)***
D7,transit_orient (binary),-0.010 (0.021),-0.007 (0.004)†,-0.015 (0.009),-0.009 (0.004)*
D+,open_space_green (LLM),+0.075 (0.027)*,+0.038 (0.004)***,+0.022 (0.012)†,+0.034 (0.003)***
